"ID","CountryID","RegionID","CityID","SampleID","Income"
1,1,1,1,1,29164.4520660671
5,1,1,4,5,17320.6896794906
6,1,1,5,6,32644.998688817
7,1,1,6,7,37896.0330244978
8,1,1,6,8,18094.5822388876
9,1,1,6,9,19213.5977260844
10,1,1,6,10,30555.5162411191
11,1,1,6,11,36161.7895685425
13,1,1,6,13,31649.9802994025
14,1,1,7,14,11138.7999688463
17,1,1,7,17,42254.0393116553
19,1,1,9,19,2760.21956864081
20,1,1,10,20,30569.7554962638
21,1,1,10,21,24633.653240186
25,1,1,10,25,29713.9900036187
26,1,1,10,26,14410.2427237237
27,1,1,10,27,20485.2400484395
28,1,1,10,28,17009.2666150251
29,1,1,11,29,13112.871032535
30,1,1,11,30,26826.4786857427
31,1,1,11,31,20961.6654234613
32,1,1,12,32,21783.6732345655
33,1,1,12,33,37547.3394605374
34,1,1,12,34,34614.7539507968
35,1,1,12,35,15111.015916629
36,1,1,12,36,42462.9871430824
38,1,1,13,38,32519.8898872173
39,1,1,13,39,52050.5158596404
40,1,1,13,40,28986.7783027824
41,1,1,13,41,35950.5562327573
42,1,1,13,42,37844.5237417028
43,1,1,13,43,25027.9191514844
44,1,1,13,44,37646.3469472689
45,1,1,13,45,35673.0030539021
47,1,1,13,47,40682.443522381
48,1,1,13,48,36678.4883568048
49,1,1,13,49,40392.4895675042
53,1,1,14,53,21971.9932626758
55,1,1,14,55,32396.1758093996
57,1,1,14,57,10082.5284347694
58,1,1,14,58,33025.8438401349
59,1,1,14,59,28825.0118533053
60,1,1,14,60,38219.2286222805
61,1,1,14,61,34604.0963622294
63,1,1,14,63,47386.0415018319
68,2,2,16,68,47741.6226070606
69,2,2,16,69,65511.4816109424
70,2,2,16,70,35655.3465291214
71,2,2,16,71,37114.2740246052
73,2,2,16,73,42630.8799894153
74,2,2,17,74,61813.0446841778
75,2,2,17,75,31929.1698417251
76,2,2,18,76,40679.5435492967
77,2,2,18,77,44139.8677980232
79,2,2,18,79,48304.6654850733
81,2,2,18,81,46689.1234352922
82,2,2,18,82,57978.9792881101
83,2,2,18,83,55138.5134028781
87,2,2,18,87,20528.4061740578
88,2,2,18,88,21376.4330765803
89,2,2,18,89,24298.1614314542
91,2,2,20,91,39923.26860758
93,2,2,21,93,48903.0927695652
94,2,2,21,94,40694.1057735791
95,2,2,21,95,56887.8411501762
96,2,2,21,96,54931.6505947307
97,2,2,21,97,52711.9321058934
98,2,2,21,98,25766.1825280178
99,2,2,21,99,41991.7920794737
101,2,2,21,101,57652.5864204059
102,2,2,21,102,36705.2481137999
104,2,2,22,104,52451.0378944483
106,2,2,23,106,58237.2621977525
108,2,2,23,108,56165.5452918802
109,2,2,24,109,47864.058052593
110,2,2,24,110,48367.3685611172
111,2,2,24,111,57484.409190987
112,2,2,24,112,52124.8325710354
113,2,2,24,113,32863.7710297605
115,2,2,24,115,47370.0148237049
116,2,2,24,116,47784.9876755358
117,2,2,24,117,51088.7096660882
119,2,2,25,119,46677.3466431502
120,2,2,25,120,50719.295467479
121,2,2,25,121,53810.5130299757
122,2,2,25,122,39996.9120964289
124,2,2,25,124,42395.6369701221
125,2,2,25,125,47040.3004696308
126,2,2,25,126,38808.2400376328
127,2,2,25,127,64222.2007647195
128,2,2,26,128,45166.9501594633
129,2,3,27,129,44540.5338720513
130,2,3,27,130,28304.1622972373
131,2,3,28,131,55171.9884704735
132,2,3,28,132,59316.584696629
133,2,3,29,133,43419.4084938742
135,2,3,29,135,59555.6128412939
136,2,3,29,136,48476.9871082919
137,2,3,29,137,41441.4302762609
138,2,3,29,138,52207.6629054361
139,2,3,29,139,39935.4390974714
140,2,3,29,140,59013.3810175969
141,2,3,29,141,43119.6700176244
143,2,3,29,143,70237.1782585449
144,2,3,29,144,48557.205066774
145,2,3,29,145,75485.1230644455
146,2,3,29,146,41483.1901366411
147,2,3,29,147,43880.8467364555
148,2,3,29,148,47738.016238071
149,2,3,30,149,53111.4404220532
150,2,3,31,150,46418.5391515555
151,2,3,31,151,47773.8698800677
152,2,3,31,152,42709.8489042877
153,2,3,31,153,59910.1296978848
154,2,3,31,154,39733.8578544722
155,2,3,32,155,42844.6975101897
156,2,4,33,156,39797.5770651603
157,2,4,34,157,75897.90260553
158,2,4,34,158,66882.6370911892
160,2,4,36,160,60213.2864838629
162,2,4,36,162,59042.8643318357
163,2,4,36,163,59358.0360000726
164,2,4,37,164,67842.6241887035
168,2,5,41,168,37177.6814426917
169,2,5,41,169,40474.7758877464
170,2,5,41,170,47321.7915348088
171,2,5,41,171,37572.1480977366
172,2,5,41,172,40462.5562465399
173,2,5,42,173,55817.9732514977
176,2,5,43,176,62041.9491287151
177,2,5,43,177,55856.3165297359
178,2,5,44,178,40786.7405670501
179,2,5,45,179,59618.6378059441
180,2,5,46,180,51521.2354960519
182,2,5,48,182,56530.6728290799
183,2,5,48,183,67417.0971316959
184,2,5,48,184,45391.7607495336
186,2,5,48,186,50679.9968143525
189,2,5,50,189,49992.381683433
190,2,5,50,190,60236.6687757687
192,2,5,52,192,43116.2139429482
193,2,5,52,193,52804.3994228373
194,2,5,52,194,61627.7578929752
195,2,5,53,195,51102.396043856
196,2,5,53,196,48131.5749695493
197,2,5,53,197,21461.2294283248
198,2,5,53,198,74725.0453572912
199,2,5,54,199,57151.1333726209
202,2,5,55,202,54633.6353993222
